map_name,hero,All Damage Done,Time Played,Damage per Second
Blizzard World,Ashe,1007821.6881359594,37627.19070558051,26.78439897418355
Blizzard World,Hanzo,948315.6411183064,35371.140657326876,26.810434255019416
Blizzard World,McCree,713297.4137058901,30067.6395097037,23.723093177157732
Blizzard World,Widowmaker,1049436.7847408934,66522.85045046669,15.775583542114003
Busan,Ashe,872517.740611332,34667.80251010431,25.16795635826722
Busan,Hanzo,114409.4554556412,4459.2341600188,25.656749870062633
Busan,McCree,648876.8833670217,27648.682366616984,23.4686367604438
Busan,Widowmaker,569760.9506525383,43287.24485569676,13.16232882346532
Dorado,Ashe,258817.25888994848,12332.69487392933,20.986269549007865
Dorado,Hanzo,659523.1212716085,29907.42006596628,22.05215695024545
Dorado,McCree,443005.81689684436,21003.059326438346,21.092442296689374
Dorado,Widowmaker,1420007.0097604163,107131.64043045696,13.254786392281508
Eichenwalde,Ashe,631422.6277964578,23672.121934819726,26.673680945673382
Eichenwalde,Hanzo,471801.306453634,19224.6363300075,24.54149448420021
Eichenwalde,McCree,1227725.5390142156,55482.663730950226,22.128092929491885
Eichenwalde,Widowmaker,181364.3787975282,13565.446640807846,13.369584032120569
Hanamura,Ashe,1168346.6404225673,46844.0670694314,24.941187081191426
Hanamura,Hanzo,713260.0392799347,29539.45750866197,24.146010097537598
Hanamura,McCree,536378.6745044742,25418.5303112833,21.10187599109046
Hanamura,Widowmaker,903514.2842471476,61717.764323814234,14.639452581378102
Havana,Ashe,333228.50882555544,11442.324705541134,29.12244822629304
Havana,Hanzo,1162489.9227597348,45531.5605500153,25.53151942777731
Havana,McCree,640966.1216010998,26014.90252092747,24.638421039074817
Havana,Widowmaker,790624.7074574656,50831.75915491581,15.553754593618196
Hollywood,Ashe,940491.2032290932,33787.66895382155,27.83533852289384
Hollywood,Hanzo,824505.4473672595,34817.63831981186,23.680682756076
Hollywood,McCree,325653.1211852585,14806.390078332555,21.99409305458015
Hollywood,Widowmaker,426552.19805455714,30272.54477572104,14.090397791620656
Horizon Lunar Colony,Ashe,18628.9340034,711.4986539010001,26.182669357505322
Horizon Lunar Colony,Hanzo,153782.6380168,5388.991833291999,28.53643924022391
Horizon Lunar Colony,McCree,174596.71910497997,8609.049305156,20.280603922248787
Horizon Lunar Colony,Widowmaker,945983.0807257001,62802.511979313975,15.062822344387913
Ilios,Ashe,483204.2632641706,20600.411840338835,23.45604869500623
Ilios,Hanzo,197461.31741285938,8336.178827773818,23.68726985018285
Ilios,McCree,854784.6119637707,42779.493955875085,19.981176328206182
Ilios,Widowmaker,899295.6937848267,64096.73624052168,14.030288381770925
Junkertown,Ashe,67818.2480962,3051.3428067409995,22.225705989630704
Junkertown,Hanzo,1138509.9607564197,47113.37637163687,24.16532306612234
Junkertown,McCree,203631.85395586008,9990.169794652835,20.38322252188872
Junkertown,Widowmaker,2340020.58856842,166406.1254938962,14.062106077064167
King's Row,Ashe,1799878.863960291,64557.81614961122,27.880107650932832
King's Row,Hanzo,1664233.283156674,63699.27636047041,26.126407994635244
King's Row,McCree,1152757.0156779021,47167.80126774999,24.43949017538954
King's Row,Widowmaker,1488127.8197308313,95872.23853763625,15.52198887216597
Lijiang Tower,Ashe,493707.9273215933,15898.210954597851,31.054307225607054
Lijiang Tower,Hanzo,105634.82582636815,3542.9804079107194,29.815244134714412
Lijiang Tower,McCree,1121636.8269773275,46037.24877894,24.363680643975115
Lijiang Tower,Widowmaker,408662.0323279,28244.972116765774,14.468487723707987
Nepal,Ashe,543596.5452028709,18340.422663356214,29.639259420611147
Nepal,Hanzo,148893.89018135663,6260.429846892207,23.783333384890547
Nepal,McCree,741072.3238423826,33824.844581200654,21.90911245913779
Nepal,Widowmaker,522616.0095040917,31135.44713069613,16.78524182775746
Numbani,Ashe,974296.2125686778,36444.541961507224,26.733666006770804
Numbani,Hanzo,183684.88303929515,7906.191531201904,23.233042396504057
Numbani,McCree,507742.89361817547,24064.520735152055,21.09923148714506
Numbani,Widowmaker,285730.1648321535,18661.577048042276,15.31114782510455
Oasis,Ashe,449299.0124793231,16563.926159012182,27.125151861104275
Oasis,Hanzo,133617.8312460087,5282.031595080375,25.29667398628566
Oasis,McCree,1611416.6506356332,71912.81592226267,22.407920340340517
Oasis,Widowmaker,317064.03901294543,23160.017924704924,13.690146529408832
Paris,Ashe,72595.11079800001,3020.384516891,24.03505593146299
Paris,Hanzo,249249.41829529998,9005.139850033,27.678572731370362
Paris,McCree,176375.04192329998,7330.015042067001,24.062030011000324
Paris,Widowmaker,139529.83382549998,10071.699413596001,13.853653499343487
Rialto,Ashe,566922.6550976002,20271.162373530005,27.966953480570275
Rialto,Hanzo,190882.80309680206,7007.059950543661,27.24149706782399
Rialto,McCree,253359.3291517193,10590.425918459152,23.923431512807532
Rialto,Widowmaker,276570.26420262485,18522.38139625522,14.931679587298678
