map_name,hero,Ultimate Kills,Ultimates Used,Kills per Ult
Blizzard World,Ana,271.0,426.0,0.636150234741784
Blizzard World,Ashe,146.0,217.0,0.6728110599078341
Blizzard World,Baptiste,336.0,562.0,0.597864768683274
Blizzard World,Bastion,2.0,2.0,1.0
Blizzard World,D.Va,387.0,983.0,0.3936927772126144
Blizzard World,Doomfist,6.0,12.0,0.5
Blizzard World,Echo,59.0,144.0,0.4097222222222222
Blizzard World,Genji,198.0,149.0,1.3288590604026846
Blizzard World,Hanzo,135.0,277.0,0.48736462093862815
Blizzard World,Junkrat,105.0,179.0,0.5865921787709497
Blizzard World,McCree,82.0,200.0,0.41
Blizzard World,Mei,398.0,328.0,1.2134146341463414
Blizzard World,Moira,87.0,195.0,0.4461538461538462
Blizzard World,Orisa,864.0,362.0,2.386740331491713
Blizzard World,Pharah,61.0,45.0,1.3555555555555556
Blizzard World,Reaper,29.0,19.0,1.5263157894736843
Blizzard World,Reinhardt,313.0,467.0,0.6702355460385439
Blizzard World,Roadhog,83.0,118.0,0.7033898305084746
Blizzard World,Sigma,171.0,204.0,0.8382352941176471
Blizzard World,Soldier: 76,20.0,24.0,0.8333333333333334
Blizzard World,Torbjörn,2.0,10.0,0.2
Blizzard World,Tracer,319.0,861.0,0.3704994192799071
Blizzard World,Winston,343.0,611.0,0.5613747954173486
Blizzard World,Wrecking Ball,27.0,104.0,0.25961538461538464
Blizzard World,Zarya,480.0,384.0,1.25
Busan,Ana,305.0,443.0,0.6884875846501128
Busan,Ashe,154.0,209.0,0.7368421052631579
Busan,Baptiste,205.0,382.0,0.5366492146596858
Busan,Bastion,1.0,3.0,0.3333333333333333
Busan,D.Va,267.0,653.0,0.40888208269525267
Busan,Doomfist,85.0,136.0,0.625
Busan,Echo,48.0,114.0,0.42105263157894735
Busan,Genji,95.0,75.0,1.2666666666666666
Busan,Hanzo,16.0,28.0,0.5714285714285714
Busan,Junkrat,12.0,11.0,1.0909090909090908
Busan,McCree,70.0,182.0,0.38461538461538464
Busan,Mei,354.0,292.0,1.2123287671232876
Busan,Moira,878.0,1168.0,0.7517123287671232
Busan,Orisa,1521.0,430.0,3.5372093023255813
Busan,Pharah,32.0,28.0,1.1428571428571428
Busan,Reaper,417.0,279.0,1.4946236559139785
Busan,Reinhardt,325.0,454.0,0.7158590308370044
Busan,Roadhog,53.0,60.0,0.8833333333333333
Busan,Sigma,339.0,420.0,0.8071428571428572
Busan,Soldier: 76,38.0,43.0,0.8837209302325582
Busan,Torbjörn,49.0,40.0,1.225
Busan,Tracer,243.0,578.0,0.4204152249134948
Busan,Winston,168.0,254.0,0.6614173228346457
Busan,Wrecking Ball,122.0,328.0,0.3719512195121951
Busan,Zarya,554.0,441.0,1.256235827664399
Dorado,Ana,454.0,596.0,0.761744966442953
Dorado,Ashe,40.0,70.0,0.5714285714285714
Dorado,Baptiste,41.0,81.0,0.5061728395061729
Dorado,Bastion,6.0,8.0,0.75
Dorado,D.Va,401.0,1173.0,0.34185848252344414
Dorado,Doomfist,35.0,63.0,0.5555555555555556
Dorado,Echo,93.0,152.0,0.6118421052631579
Dorado,Genji,234.0,225.0,1.04
Dorado,Hanzo,90.0,202.0,0.44554455445544555
Dorado,Junkrat,119.0,183.0,0.6502732240437158
Dorado,McCree,58.0,129.0,0.4496124031007752
Dorado,Mei,114.0,85.0,1.3411764705882352
Dorado,Moira,173.0,224.0,0.7723214285714286
Dorado,Orisa,516.0,220.0,2.3454545454545452
Dorado,Pharah,216.0,161.0,1.3416149068322982
Dorado,Reaper,106.0,72.0,1.4722222222222223
Dorado,Reinhardt,365.0,546.0,0.6684981684981685
Dorado,Roadhog,54.0,97.0,0.5567010309278351
Dorado,Sigma,80.0,101.0,0.7920792079207921
Dorado,Soldier: 76,42.0,47.0,0.8936170212765957
Dorado,Torbjörn,20.0,18.0,1.1111111111111112
Dorado,Tracer,216.0,607.0,0.35584843492586493
Dorado,Winston,482.0,736.0,0.654891304347826
Dorado,Wrecking Ball,35.0,116.0,0.3017241379310345
Dorado,Zarya,608.0,515.0,1.1805825242718446
Eichenwalde,Ana,429.0,573.0,0.7486910994764397
Eichenwalde,Ashe,95.0,150.0,0.6333333333333333
Eichenwalde,Baptiste,236.0,422.0,0.5592417061611374
Eichenwalde,Bastion,9.0,6.0,1.5
Eichenwalde,D.Va,346.0,933.0,0.3708467309753483
Eichenwalde,Doomfist,59.0,92.0,0.6413043478260869
Eichenwalde,Echo,87.0,192.0,0.453125
Eichenwalde,Genji,192.0,158.0,1.2151898734177216
Eichenwalde,Hanzo,62.0,125.0,0.496
Eichenwalde,Junkrat,69.0,101.0,0.6831683168316832
Eichenwalde,McCree,160.0,367.0,0.4359673024523161
Eichenwalde,Mei,275.0,213.0,1.2910798122065728
Eichenwalde,Moira,379.0,386.0,0.9818652849740933
Eichenwalde,Orisa,782.0,292.0,2.6780821917808217
Eichenwalde,Pharah,298.0,249.0,1.1967871485943775
Eichenwalde,Reaper,170.0,127.0,1.3385826771653544
Eichenwalde,Reinhardt,424.0,676.0,0.6272189349112426
Eichenwalde,Roadhog,52.0,63.0,0.8253968253968254
Eichenwalde,Sigma,190.0,239.0,0.7949790794979079
Eichenwalde,Soldier: 76,16.0,27.0,0.5925925925925926
Eichenwalde,Torbjörn,46.0,50.0,0.92
Eichenwalde,Tracer,245.0,604.0,0.4056291390728477
Eichenwalde,Winston,406.0,549.0,0.7395264116575592
Eichenwalde,Wrecking Ball,35.0,84.0,0.4166666666666667
Eichenwalde,Zarya,715.0,556.0,1.2859712230215827
Hanamura,Ana,587.0,779.0,0.7535301668806161
Hanamura,Ashe,170.0,263.0,0.6463878326996197
Hanamura,Baptiste,270.0,567.0,0.47619047619047616
Hanamura,Bastion,14.0,19.0,0.7368421052631579
Hanamura,D.Va,279.0,1026.0,0.2719298245614035
Hanamura,Doomfist,15.0,34.0,0.4411764705882353
Hanamura,Echo,111.0,181.0,0.6132596685082873
Hanamura,Genji,451.0,389.0,1.1593830334190232
Hanamura,Hanzo,95.0,180.0,0.5277777777777778
Hanamura,Junkrat,84.0,123.0,0.6829268292682927
Hanamura,McCree,44.0,128.0,0.34375
Hanamura,Mei,336.0,318.0,1.0566037735849056
Hanamura,Moira,263.0,398.0,0.6608040201005025
Hanamura,Orisa,1104.0,394.0,2.802030456852792
Hanamura,Pharah,109.0,105.0,1.0380952380952382
Hanamura,Reaper,81.0,77.0,1.051948051948052
Hanamura,Reinhardt,232.0,399.0,0.581453634085213
Hanamura,Roadhog,77.0,81.0,0.9506172839506173
Hanamura,Sigma,217.0,277.0,0.7833935018050542
Hanamura,Soldier: 76,101.0,158.0,0.6392405063291139
